Date,Product_Category,Units_Sold,Revenue
2019-01-01,Pain Relievers,659,10530.76011480574
2019-01-02,Pain Relievers,583,8150.268444303085
2019-01-03,Pain Relievers,571,3352.486138220628
2019-01-04,Pain Relievers,571,10273.79868856232
2019-01-05,Pain Relievers,789,4188.617489990822
2019-01-06,Pain Relievers,692,13527.664265441503
2019-01-07,Pain Relievers,543,4195.964357901835
2019-01-08,Pain Relievers,665,5154.459985788002
2019-01-09,Pain Relievers,629,7220.401250888362
2019-01-10,Pain Relievers,370,3466.321728099132
2019-01-11,Pain Relievers,478,4484.677129997514
2019-01-12,Pain Relievers,637,6685.587412671224
2019-01-13,Pain Relievers,775,6196.207717590932
2019-01-14,Pain Relievers,572,7272.131481588788
2019-01-15,Pain Relievers,534,7536.434263730521
2019-01-16,Pain Relievers,613,4632.969317304645
2019-01-17,Pain Relievers,527,8043.8620745786
2019-01-18,Pain Relievers,564,6543.690097037027
2019-01-19,Pain Relievers,598,3298.465034403509
2019-01-20,Pain Relievers,473,8816.628252748958
2019-01-21,Pain Relievers,698,6753.614966656132
2019-01-22,Pain Relievers,453,5798.862203903225
2019-01-23,Pain Relievers,440,8599.258543246087
2019-01-24,Pain Relievers,623,10358.616234309615
2019-01-25,Pain Relievers,688,4353.242621175809
2019-01-26,Pain Relievers,620,4922.64062049805
2019-01-27,Pain Relievers,586,6346.473376370547
2019-01-28,Pain Relievers,563,5106.542573330551
2019-01-29,Pain Relievers,544,5012.425599049027
2019-01-30,Pain Relievers,726,9539.960345593327
2019-01-31,Pain Relievers,638,3903.4496600154066
2019-02-01,Pain Relievers,553,10951.227139101291
2019-02-02,Pain Relievers,518,2632.906850050391
2019-02-03,Pain Relievers,673,11597.083120251551
2019-02-04,Pain Relievers,723,11979.42690980908
2019-02-05,Pain Relievers,711,4344.686210744074
2019-02-06,Pain Relievers,499,8955.329142678818
2019-02-07,Pain Relievers,562,8064.403209156313
2019-02-08,Pain Relievers,542,5238.286275548333
2019-02-09,Pain Relievers,577,5699.4616521414955
2019-02-10,Pain Relievers,697,12760.809223635493
2019-02-11,Pain Relievers,762,9207.416594601082
2019-02-12,Pain Relievers,643,10552.771793909977
2019-02-13,Pain Relievers,522,7004.800456969156
2019-02-14,Pain Relievers,595,7640.390502234297
2019-02-15,Pain Relievers,787,8982.121721722679
2019-02-16,Pain Relievers,610,5926.357226848389
2019-02-17,Pain Relievers,564,7122.5080472533855
2019-02-18,Pain Relievers,573,6392.241223491237
2019-02-19,Pain Relievers,642,10485.95746416956
2019-02-20,Pain Relievers,502,9510.623322139576
2019-02-21,Pain Relievers,539,9228.653268778311
2019-02-22,Pain Relievers,709,12092.052537822083
2019-02-23,Pain Relievers,639,4983.274014422654
2019-02-24,Pain Relievers,611,10455.189022078632
2019-02-25,Pain Relievers,716,13204.020561178319
2019-02-26,Pain Relievers,515,4335.799130636499
2019-02-27,Pain Relievers,560,6387.705424460552
2019-02-28,Pain Relievers,635,3241.2190433095916
2019-03-01,Pain Relievers,526,6659.796217336993
2019-03-02,Pain Relievers,358,2433.677022581877
2019-03-03,Pain Relievers,457,4599.35199997187
2019-03-04,Pain Relievers,483,6173.638054530687
2019-03-05,Pain Relievers,540,8394.45356705094
2019-03-06,Pain Relievers,525,10204.272447669127
2019-03-07,Pain Relievers,492,4318.153343191188
2019-03-08,Pain Relievers,308,2855.9630840239
2019-03-09,Pain Relievers,497,2759.9921925280423
2019-03-10,Pain Relievers,506,2920.723721987419
2019-03-11,Pain Relievers,746,6848.053934807683
2019-03-12,Pain Relievers,480,3443.2430790568064
2019-03-13,Pain Relievers,530,6541.149444206626
2019-03-14,Pain Relievers,614,5258.641780170002
2019-03-15,Pain Relievers,575,9155.866006777289
2019-03-16,Pain Relievers,640,9281.885223304589
2019-03-17,Pain Relievers,359,4680.146673742574
2019-03-18,Pain Relievers,400,2244.6508493285833
2019-03-19,Pain Relievers,443,6141.483607485867
2019-03-20,Pain Relievers,344,5049.091598512761
2019-03-21,Pain Relievers,506,3853.441196147885
2019-03-22,Pain Relievers,408,7772.787531068815
2019-03-23,Pain Relievers,654,4619.080462072194
2019-03-24,Pain Relievers,421,7944.440199429124
2019-03-25,Pain Relievers,467,8480.76217043377
2019-03-26,Pain Relievers,581,10027.091474753595
2019-03-27,Pain Relievers,376,5011.332577420968
2019-03-28,Pain Relievers,339,2168.4275742929976
2019-03-29,Pain Relievers,518,9561.36643929735
2019-03-30,Pain Relievers,525,5294.859604508518
2019-03-31,Pain Relievers,578,5917.64701189177
2019-04-01,Pain Relievers,552,10105.075592915171
2019-04-02,Pain Relievers,529,8833.312456380245
2019-04-03,Pain Relievers,431,3199.929636621678
2019-04-04,Pain Relievers,523,9664.157608994936
2019-04-05,Pain Relievers,529,2685.163667819745
2019-04-06,Pain Relievers,428,3172.3876901003414
2019-04-07,Pain Relievers,686,10138.68136028176
2019-04-08,Pain Relievers,547,4575.129684123893
2019-04-09,Pain Relievers,402,3972.1601799003843
2019-04-10,Pain Relievers,578,9362.08048237327
2019-04-11,Pain Relievers,596,8859.059257165069
2019-04-12,Pain Relievers,541,7316.824316067352
2019-04-13,Pain Relievers,475,4264.5668697322935
2019-04-14,Pain Relievers,424,3671.774131890971
2019-04-15,Pain Relievers,492,9043.303577207096
2019-04-16,Pain Relievers,534,7725.4203942380755
2019-04-17,Pain Relievers,501,6840.432692967089
2019-04-18,Pain Relievers,645,7990.108687697509
2019-04-19,Pain Relievers,562,5176.911015376414
2019-04-20,Pain Relievers,414,2221.002151539328
2019-04-21,Pain Relievers,392,7489.896475995136
2019-04-22,Pain Relievers,548,10581.29290296127
2019-04-23,Pain Relievers,477,2495.5920912640463
2019-04-24,Pain Relievers,571,10806.048488563869
2019-04-25,Pain Relievers,547,10641.501912017318
2019-04-26,Pain Relievers,492,8755.209781349118
2019-04-27,Pain Relievers,415,7373.325780192434
2019-04-28,Pain Relievers,348,3394.3328669157695
2019-04-29,Pain Relievers,521,9921.049560066504
2019-04-30,Pain Relievers,375,5790.1676062967235
2019-05-01,Pain Relievers,411,5846.519552600382
2019-05-02,Pain Relievers,515,10223.165992055434
2019-05-03,Pain Relievers,505,9171.101019854263
2019-05-04,Pain Relievers,385,6202.938767530531
2019-05-05,Pain Relievers,608,6318.559299124167
2019-05-06,Pain Relievers,605,5689.345986700277
2019-05-07,Pain Relievers,551,9921.352713064558
2019-05-08,Pain Relievers,551,10302.933166879235
2019-05-09,Pain Relievers,551,9352.909654160396
2019-05-10,Pain Relievers,885,13053.271181074831
2019-05-11,Pain Relievers,595,10918.29767572178
2019-05-12,Pain Relievers,565,5689.508954316766
2019-05-13,Pain Relievers,422,5770.5132925057815
2019-05-14,Pain Relievers,476,2636.6278349087384
2019-05-15,Pain Relievers,731,6796.924829586639
2019-05-16,Pain Relievers,313,4338.962158371506
2019-05-17,Pain Relievers,452,3121.470275779779
2019-05-18,Pain Relievers,608,7802.858531699816
2019-05-19,Pain Relievers,428,6138.956854757982
2019-05-20,Pain Relievers,567,3560.8801897719964
2019-05-21,Pain Relievers,504,6607.2015193724055
2019-05-22,Pain Relievers,434,6319.668658753325
2019-05-23,Pain Relievers,297,5027.554497694574
2019-05-24,Pain Relievers,518,4694.366592306316
2019-05-25,Pain Relievers,420,2259.7096835173825
2019-05-26,Pain Relievers,488,9486.586395442411
2019-05-27,Pain Relievers,550,6123.861791417726
2019-05-28,Pain Relievers,586,4453.257073422735
2019-05-29,Pain Relievers,452,5983.756786707497
2019-05-30,Pain Relievers,434,6822.019456777405
2019-05-31,Pain Relievers,373,7207.47124531057
2019-06-01,Pain Relievers,591,9496.456166507987
2019-06-02,Pain Relievers,712,8041.328666728796
2019-06-03,Pain Relievers,603,5255.726800037969
2019-06-04,Pain Relievers,626,3265.154858233408
2019-06-05,Pain Relievers,429,2891.927441662006
2019-06-06,Pain Relievers,544,6589.258445352573
2019-06-07,Pain Relievers,577,3731.754660434418
2019-06-08,Pain Relievers,175,1329.65490851379
2019-06-09,Pain Relievers,397,4568.586571212129
2019-06-10,Pain Relievers,663,9631.006357878718
2019-06-11,Pain Relievers,356,2021.9234121827178
2019-06-12,Pain Relievers,644,8080.296257883648
2019-06-13,Pain Relievers,356,6353.655751945641
2019-06-14,Pain Relievers,401,2429.4710156135857
2019-06-15,Pain Relievers,546,7991.413888509725
2019-06-16,Pain Relievers,506,9666.347532415428
2019-06-17,Pain Relievers,461,6284.403940011703
2019-06-18,Pain Relievers,658,7812.956029151269
2019-06-19,Pain Relievers,376,4957.278691741873
2019-06-20,Pain Relievers,484,9398.243493361617
2019-06-21,Pain Relievers,558,10367.784873172255
2019-06-22,Pain Relievers,528,3203.8140958050135
2019-06-23,Pain Relievers,437,4275.885256575605
2019-06-24,Pain Relievers,441,2986.660334717256
2019-06-25,Pain Relievers,584,9023.417568589959
2019-06-26,Pain Relievers,589,9439.35267200733
2019-06-27,Pain Relievers,530,9037.673396559547
2019-06-28,Pain Relievers,417,6780.09527151357
2019-06-29,Pain Relievers,443,7576.416842430969
2019-06-30,Pain Relievers,497,5258.394829585199
2019-07-01,Pain Relievers,511,8506.205344087406
2019-07-02,Pain Relievers,554,9903.409967815427
2019-07-03,Pain Relievers,479,5477.322086689506
2019-07-04,Pain Relievers,582,3810.2713749376912
2019-07-05,Pain Relievers,581,10770.748581712422
2019-07-06,Pain Relievers,630,6174.468729739281
2019-07-07,Pain Relievers,502,9253.289910576388
2019-07-08,Pain Relievers,532,10245.845032561698
2019-07-09,Pain Relievers,486,6610.362204418756
2019-07-10,Pain Relievers,418,3928.431538546865
2019-07-11,Pain Relievers,709,7040.347440009056
2019-07-12,Pain Relievers,615,10377.316678370951
2019-07-13,Pain Relievers,579,9752.833570170702
2019-07-14,Pain Relievers,498,2919.9639373243326
2019-07-15,Pain Relievers,410,5429.602626290974
2019-07-16,Pain Relievers,597,6127.443937403865
2019-07-17,Pain Relievers,485,3276.6625445108325
2019-07-18,Pain Relievers,541,7721.839583811458
2019-07-19,Pain Relievers,443,2886.9601828359414
2019-07-20,Pain Relievers,524,3191.917230022561
2019-07-21,Pain Relievers,449,7780.227499320548
2019-07-22,Pain Relievers,452,2835.199701497601
2019-07-23,Pain Relievers,523,10355.18749334172
2019-07-24,Pain Relievers,355,6103.157695646201
2019-07-25,Pain Relievers,359,6895.933589212079
2019-07-26,Pain Relievers,428,7129.283200254144
2019-07-27,Pain Relievers,478,6393.758470605722
2019-07-28,Pain Relievers,585,3900.757907236478
2019-07-29,Pain Relievers,484,5996.458257151638
2019-07-30,Pain Relievers,498,2910.5854693433253
2019-07-31,Pain Relievers,471,3194.448578433928
2019-08-01,Pain Relievers,532,8613.438136538078
2019-08-02,Pain Relievers,417,5733.971625682733
2019-08-03,Pain Relievers,489,4540.698152877448
2019-08-04,Pain Relievers,540,9735.652938334628
2019-08-05,Pain Relievers,522,3187.8271018781734
2019-08-06,Pain Relievers,501,6667.214947275926
2019-08-07,Pain Relievers,502,7249.371745158527
2019-08-08,Pain Relievers,549,8474.490453788323
2019-08-09,Pain Relievers,715,9841.770995375251
2019-08-10,Pain Relievers,423,7832.847576565327
2019-08-11,Pain Relievers,718,6577.395340706799
2019-08-12,Pain Relievers,419,3277.34148886384
2019-08-13,Pain Relievers,287,3947.6395615180045
2019-08-14,Pain Relievers,447,2756.2107408502234
2019-08-15,Pain Relievers,534,5149.316206453485
2019-08-16,Pain Relievers,687,11821.157678080106
2019-08-17,Pain Relievers,410,7652.202184637131
2019-08-18,Pain Relievers,549,9518.594195472297
2019-08-19,Pain Relievers,367,6969.670300863843
2019-08-20,Pain Relievers,683,12287.824547931685
2019-08-21,Pain Relievers,617,12222.24057680981
2019-08-22,Pain Relievers,453,3287.0827750484736
2019-08-23,Pain Relievers,328,6411.978837247847
2019-08-24,Pain Relievers,635,11196.182742867624
2019-08-25,Pain Relievers,488,5476.478757111709
2019-08-26,Pain Relievers,623,5669.98908719245
2019-08-27,Pain Relievers,500,8267.405613853829
2019-08-28,Pain Relievers,504,9662.428917911155
2019-08-29,Pain Relievers,454,5338.205561461737
2019-08-30,Pain Relievers,562,3898.813869727103
2019-08-31,Pain Relievers,512,4315.976746266593
2019-09-01,Pain Relievers,551,8306.606156614407
2019-09-02,Pain Relievers,346,2319.3639035160745
2019-09-03,Pain Relievers,627,9451.14590455028
2019-09-04,Pain Relievers,655,8385.606398425336
2019-09-05,Pain Relievers,511,9086.971199941609
2019-09-06,Pain Relievers,706,12813.761652151874
2019-09-07,Pain Relievers,675,7460.26402040052
2019-09-08,Pain Relievers,564,8776.514838119432
2019-09-09,Pain Relievers,636,5211.6781007950085
2019-09-10,Pain Relievers,605,6584.614709280071
2019-09-11,Pain Relievers,324,3746.1281210353236
2019-09-12,Pain Relievers,473,6011.755425588858
2019-09-13,Pain Relievers,571,9566.98805412789
2019-09-14,Pain Relievers,662,11873.271627855182
2019-09-15,Pain Relievers,361,6946.654177106133
2019-09-16,Pain Relievers,329,3910.8349570358196
2019-09-17,Pain Relievers,494,9732.041382865385
2019-09-18,Pain Relievers,293,4248.79675472201
2019-09-19,Pain Relievers,491,4223.672482301392
2019-09-20,Pain Relievers,536,4142.315878569124
2019-09-21,Pain Relievers,406,4135.113755442327
2019-09-22,Pain Relievers,493,7401.589476362996
2019-09-23,Pain Relievers,595,4512.954850474546
2019-09-24,Pain Relievers,446,3414.200139811436
2019-09-25,Pain Relievers,420,2658.8259626694503
